A,,B,AL,AN,AA,AB,AC,AD,AE,AF,AG,AH,Q,F,C,D,K,L,S,T,U,V,W,Z,AI,AJ,AK,,,
Provider,Provider link,Offer,Offer link,Short name,Minute price,Hour price,Week price,Month price,Year price,Month Limit,Setup price,Currency,CPU performance (Tflops SP),GPU performance (TFlops SP),GPU model,GPUs,CPU model,CPUs,Memory (GB),HDD prim.Type,HDD prim.GB,HDD sec.Type,HDD sec.GB,Network,Max hours,Continuous,Notes,,,
Amazon,https://aws.amazon.com/ec2/pricing/on-demand/?refid=em_22240,p2.xlarge,https://aws.amazon.com/ec2/pricing/on-demand/?refid=em_22240,AZ p2.xl,,0.9,,,,,,USD,0.1472,4.37,K80,0.5,Xeon E5-2686 v4,0.111111111,61,,,,,/5,,,Prices for US East region. Other regions prices may differ. Free Outbound Traffic = 1 GB/month.  One virtual CPU performance is calculated as one real Xeon E5-2686 v4 performance devided by 18 cores * 2 Hyper-threads = 36.,6,,
,,p2.8xlarge,https://aws.amazon.com/ec2/pricing/on-demand/?refid=em_22240,AZ p2.8xl,,7.2,,,,,,USD,1.1776,34.96,K80,4,Xeon E5-2686 v4,0.888888889,488,,,,,10/5,,,Prices for US East region. Other regions prices may differ. Free Outbound Traffic = 1 GB/month.  One virtual CPU performance is calculated as one real Xeon E5-2686 v4 performance devided by 18 cores * 2 Hyper-threads = 36.,7,,
,,p2.16xlarge,https://aws.amazon.com/ec2/pricing/on-demand/?refid=em_22240,AZ p2.16xl,,14.4,,,,,,USD,2.3552,69.92,K80,8,Xeon E5-2686 v4,1.777777778,732,,,,,25/5,,,Prices for US East region. Other regions prices may differ. Free Outbound Traffic = 1 GB/month.  One virtual CPU performance is calculated as one real Xeon E5-2686 v4 performance devided by 18 cores * 2 Hyper-threads = 36.,8,,
,,p3.2xlarge,https://aws.amazon.com/ec2/pricing/on-demand/?refid=em_22240,AZ p3.2xl,,3.06,,,,,,USD,0.2944,14.028,V100,1,Xeon E5-2686 v4,0.222222222,61,,,,,10/5,,,Prices for US East region. Other regions prices may differ. Free Outbound Traffic = 1 GB/month.  One virtual CPU performance is calculated as one real Xeon E5-2686 v4 performance devided by 18 cores * 2 Hyper-threads = 36.,9,,
,,p3.8xlarge,https://aws.amazon.com/ec2/pricing/on-demand/?refid=em_22240,AZ p3.8xl,,12.24,,,,,,USD,1.1776,56.112,V100,4,Xeon E5-2686 v4,0.888888889,244,,,,,10/5,,,Prices for US East region. Other regions prices may differ. Free Outbound Traffic = 1 GB/month.  One virtual CPU performance is calculated as one real Xeon E5-2686 v4 performance devided by 18 cores * 2 Hyper-threads = 36.,10,,
,,p3.16xlarge,https://aws.amazon.com/ec2/pricing/on-demand/?refid=em_22240,AZ p3.16xl,,24.48,,,,,,USD,2.3552,112.224,V100,8,Xeon E5-2686 v4,1.777777778,488,,,,,25/5,,,Prices for US East region. Other regions prices may differ. Free Outbound Traffic = 1 GB/month.  One virtual CPU performance is calculated as one real Xeon E5-2686 v4 performance devided by 18 cores * 2 Hyper-threads = 36.,11,,
,,g3.4xlarge,https://aws.amazon.com/ec2/pricing/on-demand/?refid=em_22240,AZ g3.4xl,,1.14,,,,,,USD,0.5888,4.825,M60,0.5,Xeon E5-2686 v4,0.444444444,122,,,,,25/5,,,Prices for US East region. Other regions prices may differ. Free Outbound Traffic = 1 GB/month.  One virtual CPU performance is calculated as one real Xeon E5-2686 v4 performance devided by 18 cores * 2 Hyper-threads = 36,12,,
,,g3.8xlarge,https://aws.amazon.com/ec2/pricing/on-demand/?refid=em_22240,AZ g3.8xl,,2.28,,,,,,USD,1.1776,9.65,M60,1,Xeon E5-2686 v4,0.888888889,244,,,,,25/5,,,Prices for US East region. Other regions prices may differ. Free Outbound Traffic = 1 GB/month.  One virtual CPU performance is calculated as one real Xeon E5-2686 v4 performance devided by 18 cores * 2 Hyper-threads = 36,13,,
,,g3.16xlarge,https://aws.amazon.com/ec2/pricing/on-demand/?refid=em_22240,AZ g3.16xl,,4.56,,,,,,USD,2.3552,19.3,M60,2,Xeon E5-2686 v4,1.777777778,488,,,,,25/5,,,Prices for US East region. Other regions prices may differ. Free Outbound Traffic = 1 GB/month.  One virtual CPU performance is calculated as one real Xeon E5-2686 v4 performance devided by 18 cores * 2 Hyper-threads = 36,14,,
